temperature_K,fov_case,axis,index,power_W
300,narrow,row,0,2.0490347270746254e-09
300,narrow,row,1,2.051972051429935e-09
300,narrow,row,2,2.0548783954674164e-09
300,narrow,row,3,2.0577535393376867e-09
300,narrow,row,4,2.0605972649698218e-09
300,narrow,row,5,2.0634093561065916e-09
300,narrow,row,6,2.066189598339562e-09
300,narrow,row,7,2.0689377791440245e-09
300,narrow,row,8,2.0716536879137286e-09
300,narrow,row,9,2.074337115995458e-09
300,narrow,row,10,2.0769878567233943e-09
300,narrow,row,11,2.0796057054532613e-09
300,narrow,row,12,2.082190459596283e-09
300,narrow,row,13,2.084741918652893e-09
300,narrow,row,14,2.0872598842462245e-09
300,narrow,row,15,2.0897441601553455e-09
300,narrow,row,16,2.0921945523482473e-09
300,narrow,row,17,2.094610869014566e-09
300,narrow,row,18,2.0969929205980412e-09
300,narrow,row,19,2.0993405198286757e-09
300,narrow,row,20,2.101653481754628e-09
300,narrow,row,21,2.1039316237737853e-09
300,narrow,row,22,2.1061747656650325e-09
300,narrow,row,23,2.1083827296192095e-09
300,narrow,row,24,2.110555340269742e-09
300,narrow,row,25,2.11269242472292e-09
300,narrow,row,26,2.114793812587845e-09
300,narrow,row,27,2.1168593360060337e-09
300,narrow,row,28,2.1188888296806263e-09
300,narrow,row,29,2.1208821309052536e-09
300,narrow,row,30,2.122839079592514e-09
300,narrow,row,31,2.1247595183020537e-09
300,narrow,row,32,2.126643292268259e-09
300,narrow,row,33,2.1284902494275485e-09
300,narrow,row,34,2.130300240445234e-09
300,narrow,row,35,2.1320731187419678e-09
300,narrow,row,36,2.133808740519769e-09
300,narrow,row,37,2.1355069647876005e-09
300,narrow,row,38,2.137167653386498e-09
300,narrow,row,39,2.138790671014258e-09
300,narrow,row,40,2.1403758852496516e-09
300,narrow,row,41,2.141923166576179e-09
300,narrow,row,42,2.1434323884053376e-09
300,narrow,row,43,2.144903427099423e-09
300,narrow,row,44,2.1463361619938148e-09
300,narrow,row,45,2.147730475418795e-09
300,narrow,row,46,2.1490862527208354e-09
300,narrow,row,47,2.1504033822833826e-09
300,narrow,row,48,2.151681755547143e-09
300,narrow,row,49,2.1529212670298137e-09
300,narrow,row,50,2.154121814345302e-09
300,narrow,row,51,2.1552832982224106e-09
300,narrow,row,52,2.156405622522968e-09
300,narrow,row,53,2.1574886942594192e-09
300,narrow,row,54,2.15853242361186e-09
300,narrow,row,55,2.1595367239445204e-09
300,narrow,row,56,2.160501511821669e-09
300,narrow,row,57,2.1614267070229597e-09
300,narrow,row,58,2.1623122325581954e-09
300,narrow,row,59,2.163158014681529e-09
300,narrow,row,60,2.163963982905055e-09
300,narrow,row,61,2.164730070011839e-09
300,narrow,row,62,2.1654562120683378e-09
300,narrow,row,63,2.166142348436233e-09
300,narrow,row,64,2.1667884217836476e-09
300,narrow,row,65,2.1673943780958004e-09
300,narrow,row,66,2.1679601666849916e-09
300,narrow,row,67,2.1684857402000345e-09
300,narrow,row,68,2.1689710546350426e-09
300,narrow,row,69,2.1694160693376072e-09
300,narrow,row,70,2.1698207470163625e-09
300,narrow,row,71,2.1701850537479235e-09
300,narrow,row,72,2.170508958983197e-09
300,narrow,row,73,2.1707924355530727e-09
300,narrow,row,74,2.1710354596734916e-09
300,narrow,row,75,2.1712380109498714e-09
300,narrow,row,76,2.171400072380912e-09
300,narrow,row,77,2.1715216303617674e-09
300,narrow,row,78,2.1716026746865782e-09
300,narrow,row,79,2.171643198550383e-09
300,narrow,row,80,2.171643198550383e-09
300,narrow,row,81,2.1716026746865782e-09
300,narrow,row,82,2.1715216303617674e-09
300,narrow,row,83,2.171400072380912e-09
300,narrow,row,84,2.1712380109498714e-09
300,narrow,row,85,2.1710354596734916e-09
300,narrow,row,86,2.1707924355530727e-09
300,narrow,row,87,2.170508958983197e-09
300,narrow,row,88,2.1701850537479235e-09
300,narrow,row,89,2.1698207470163625e-09
300,narrow,row,90,2.1694160693376072e-09
300,narrow,row,91,2.1689710546350426e-09
300,narrow,row,92,2.1684857402000345e-09
300,narrow,row,93,2.1679601666849916e-09
300,narrow,row,94,2.1673943780958004e-09
300,narrow,row,95,2.1667884217836476e-09
300,narrow,row,96,2.166142348436233e-09
300,narrow,row,97,2.1654562120683378e-09
300,narrow,row,98,2.164730070011839e-09
300,narrow,row,99,2.163963982905055e-09
300,narrow,row,100,2.163158014681529e-09
300,narrow,row,101,2.1623122325581954e-09
300,narrow,row,102,2.1614267070229597e-09
300,narrow,row,103,2.160501511821669e-09
300,narrow,row,104,2.1595367239445204e-09
300,narrow,row,105,2.15853242361186e-09
300,narrow,row,106,2.1574886942594192e-09
300,narrow,row,107,2.156405622522968e-09
300,narrow,row,108,2.1552832982224106e-09
300,narrow,row,109,2.154121814345302e-09
300,narrow,row,110,2.1529212670298137e-09
300,narrow,row,111,2.151681755547143e-09
300,narrow,row,112,2.1504033822833826e-09
300,narrow,row,113,2.1490862527208354e-09
300,narrow,row,114,2.147730475418795e-09
300,narrow,row,115,2.1463361619938148e-09
300,narrow,row,116,2.144903427099423e-09
300,narrow,row,117,2.1434323884053376e-09
300,narrow,row,118,2.141923166576179e-09
300,narrow,row,119,2.1403758852496516e-09
300,narrow,row,120,2.138790671014258e-09
300,narrow,row,121,2.137167653386498e-09
300,narrow,row,122,2.1355069647876005e-09
300,narrow,row,123,2.133808740519769e-09
300,narrow,row,124,2.1320731187419678e-09
300,narrow,row,125,2.130300240445234e-09
300,narrow,row,126,2.1284902494275485e-09
300,narrow,row,127,2.126643292268259e-09
300,narrow,row,128,2.1247595183020537e-09
300,narrow,row,129,2.122839079592514e-09
300,narrow,row,130,2.1208821309052536e-09
300,narrow,row,131,2.1188888296806263e-09
300,narrow,row,132,2.1168593360060337e-09
300,narrow,row,133,2.114793812587845e-09
300,narrow,row,134,2.11269242472292e-09
300,narrow,row,135,2.110555340269742e-09
300,narrow,row,136,2.1083827296192095e-09
300,narrow,row,137,2.1061747656650325e-09
300,narrow,row,138,2.1039316237737853e-09
300,narrow,row,139,2.101653481754628e-09
300,narrow,row,140,2.0993405198286757e-09
300,narrow,row,141,2.0969929205980412e-09
300,narrow,row,142,2.094610869014566e-09
300,narrow,row,143,2.0921945523482473e-09
300,narrow,row,144,2.0897441601553455e-09
300,narrow,row,145,2.0872598842462245e-09
300,narrow,row,146,2.084741918652893e-09
300,narrow,row,147,2.082190459596283e-09
300,narrow,row,148,2.0796057054532613e-09
300,narrow,row,149,2.0769878567233943e-09
300,narrow,row,150,2.074337115995458e-09
300,narrow,row,151,2.0716536879137286e-09
300,narrow,row,152,2.0689377791440245e-09
300,narrow,row,153,2.066189598339562e-09
300,narrow,row,154,2.0634093561065916e-09
300,narrow,row,155,2.0605972649698218e-09
300,narrow,row,156,2.0577535393376867e-09
300,narrow,row,157,2.0548783954674164e-09
300,narrow,row,158,2.051972051429935e-09
300,narrow,row,159,2.0490347270746254e-09
300,narrow,column,0,2.101653481754628e-09
300,narrow,column,1,2.1039316237737853e-09
300,narrow,column,2,2.1061747656650325e-09
300,narrow,column,3,2.1083827296192095e-09
300,narrow,column,4,2.110555340269742e-09
300,narrow,column,5,2.11269242472292e-09
300,narrow,column,6,2.114793812587845e-09
300,narrow,column,7,2.1168593360060337e-09
300,narrow,column,8,2.1188888296806263e-09
300,narrow,column,9,2.1208821309052536e-09
300,narrow,column,10,2.122839079592514e-09
300,narrow,column,11,2.1247595183020537e-09
300,narrow,column,12,2.126643292268259e-09
300,narrow,column,13,2.1284902494275485e-09
300,narrow,column,14,2.130300240445234e-09
300,narrow,column,15,2.1320731187419678e-09
300,narrow,column,16,2.133808740519769e-09
300,narrow,column,17,2.1355069647876005e-09
300,narrow,column,18,2.137167653386498e-09
300,narrow,column,19,2.138790671014258e-09
300,narrow,column,20,2.1403758852496516e-09
300,narrow,column,21,2.141923166576179e-09
300,narrow,column,22,2.1434323884053376e-09
300,narrow,column,23,2.144903427099423e-09
300,narrow,column,24,2.1463361619938148e-09
300,narrow,column,25,2.147730475418795e-09
300,narrow,column,26,2.1490862527208354e-09
300,narrow,column,27,2.1504033822833826e-09
300,narrow,column,28,2.151681755547143e-09
300,narrow,column,29,2.1529212670298137e-09
300,narrow,column,30,2.154121814345302e-09
300,narrow,column,31,2.1552832982224106e-09
