defect_rate_requested,seed,defect_pixel_count,defect_fraction_actual,outlier_count_mean_pm_3std,mean,std,saturated_like_pixels,zero_like_pixels,mean_anomaly,mean_background,anomaly_contrast,defects_inside_anomaly
0,11,0,0.0,242,334.544994212963,118.36912237964852,0,0,781.9887218045113,316.63647306650614,465.3522487380052,0
0,22,0,0.0,242,334.544994212963,118.36912237964852,0,0,781.9887218045113,316.63647306650614,465.3522487380052,0
0,33,0,0.0,242,334.544994212963,118.36912237964852,0,0,781.9887218045113,316.63647306650614,465.3522487380052,0
0,44,0,0.0,242,334.544994212963,118.36912237964852,0,0,781.9887218045113,316.63647306650614,465.3522487380052,0
0,55,0,0.0,242,334.544994212963,118.36912237964852,0,0,781.9887218045113,316.63647306650614,465.3522487380052,0
0.001,11,7,0.0010127314814814814,244,334.7517361111111,119.58888269835735,4,3,779.1315789473684,316.96584411676196,462.1657348306065,1
0.001,22,7,0.0010127314814814814,244,334.66160300925924,119.49707465900573,3,4,781.9887218045113,316.7577490219681,465.23097278254323,0
0.001,33,7,0.0010127314814814814,243,334.53515625,119.27298667211379,2,5,781.9887218045113,316.62624134817935,465.362480456332,0
0.001,44,7,0.0010127314814814814,245,334.9771412037037,119.93235843658132,5,2,781.9887218045113,317.085916340656,464.9028054638553,0
0.001,55,7,0.0010127314814814814,243,334.5040509259259,119.27653727662079,2,5,781.9887218045113,316.5938910622931,465.39483074221823,0
0.005,11,35,0.005063657407407407,246,334.8098958333333,123.18747017113824,12,23,781.9887218045113,316.9119771291002,465.07674467541113,0
0.005,22,35,0.005063657407407407,248,335.82855902777777,124.87628127612606,20,15,781.9887218045113,317.9714113752633,464.017310429248,0
0.005,33,35,0.005063657407407407,247,336.0827546296296,125.08054966295155,22,13,780.218045112782,318.3066506169124,461.91139449586956,2
0.005,44,35,0.005063657407407407,246,335.52097800925924,124.4437478423595,19,16,779.9135338345865,317.73457718928677,462.1789566452997,2
0.005,55,35,0.005063657407407407,248,336.00810185185185,124.95061150832532,21,14,782.8082706766917,318.12533854950345,464.6829321271882,1
0.01,11,69,0.009982638888888888,243,335.6255787037037,128.3616282602352,29,40,778.3082706766917,317.9076136021667,460.400657074525,4
0.01,22,69,0.009982638888888888,242,335.919849537037,128.87165660776313,32,37,769.4812030075188,318.5669575684622,450.91424543905663,4
0.01,33,69,0.009982638888888888,244,336.1164641203704,129.43866927596537,33,36,782.8308270676691,318.2371351188685,464.59369194880065,1
0.01,44,69,0.009982638888888888,244,336.1017071759259,129.53464580828614,35,34,773.9360902255639,318.57779115257296,455.358299072991,4
0.01,55,69,0.009982638888888888,243,335.7857349537037,128.97191617205578,32,37,776.3345864661654,318.15317484201023,458.1814116241552,3
0.02,11,138,0.019965277777777776,230,338.400318287037,140.1825133684542,71,67,774.3383458646616,320.95230213662353,453.3860437280381,5
0.02,22,138,0.019965277777777776,230,337.76793981481484,139.61568643268726,66,72,777.0827067669173,320.18477279566656,456.8979339712508,3
0.02,33,138,0.019965277777777776,230,337.4166666666667,139.17694053061723,65,73,774.2669172932331,319.9321396328619,454.3347776603712,7
0.02,44,138,0.019965277777777776,228,336.5344328703704,137.89773063869964,59,79,778.8984962406015,318.8292205838098,460.0692756567917,6
0.02,55,138,0.019965277777777776,228,339.12919560185185,141.312716343557,77,61,772.2443609022556,321.7941619018959,450.4501990003597,6
