tolerance_case,tolerance,anomaly_size,anomaly_temperature_K,state,mean_anomaly,mean_background,contrast,contrast_ratio,std_background,effective_std_background,snr_like,detectable_area_fraction,contrast_preserved_fraction,anomaly_pixel_count
low,1e-06,small,320,uncorrected,237.66666666666666,84.93853117243393,152.72813549423273,2.798101914244066,17.24779731260207,17.24779731260207,8.854935660836077,1.0,1.0,63
low,1e-06,small,320,corrected,207.00659769916473,85.14496527777777,121.86163242138696,2.4312253463704443,9.004777023261679e-15,1.0,121.86163242138696,1.0,1.0,63
low,1e-06,small,340,uncorrected,389.6825396825397,84.93853117243393,304.7440085101058,4.587818205749805,17.24779731260207,17.24779731260207,17.668575470065687,1.0,1.0,63
low,1e-06,small,340,corrected,349.41896086816547,85.14496527777777,264.2739955903877,4.103812359641203,9.004777023261679e-15,1.0,264.2739955903877,1.0,1.0,63
low,1e-06,small,360,uncorrected,563.5396825396825,84.93853117243393,478.6011513672486,6.634676568583924,17.24779731260207,17.24779731260207,27.748537549056167,1.0,1.0,63
low,1e-06,small,360,corrected,512.2926793981484,85.14496527777777,427.1477141203706,6.016711354885632,9.004777023261679e-15,1.0,427.1477141203706,1.0,1.0,63
low,1e-06,small,400,uncorrected,974.952380952381,84.93853117243393,890.013849779947,11.478328710124828,17.24779731260207,17.24779731260207,51.60159489639063,1.0,1.0,63
low,1e-06,small,400,corrected,897.7149355215514,85.14496527777777,812.5699702437737,10.543370739454028,9.004777023261679e-15,1.0,812.5699702437737,1.0,1.0,63
low,1e-06,medium,320,uncorrected,237.79323308270676,84.2302136623533,153.56301942035347,2.823134630002589,16.96384860989493,16.96384860989493,9.052369126353845,1.0,1.0,266
low,1e-06,medium,320,corrected,206.98293494575663,85.1449652777778,121.83796966797883,2.4309474350067957,3.045115950159354e-14,1.0,121.83796966797883,1.0,1.0,266
low,1e-06,medium,340,uncorrected,389.4661654135338,84.2302136623533,305.23595175118055,4.623829721894743,16.96384860989493,16.96384860989493,17.993319721866527,1.0,1.0,266
low,1e-06,medium,340,corrected,349.35970452883186,85.1449652777778,264.2147392510541,4.103116413155813,3.045115950159354e-14,1.0,264.2147392510541,1.0,1.0,266
low,1e-06,medium,360,uncorrected,563.0375939849624,84.2302136623533,478.8073803226091,6.684508675734396,16.96384860989493,16.96384860989493,28.225162304462152,1.0,1.0,266
low,1e-06,medium,360,corrected,512.292679398148,85.1449652777778,427.1477141203702,6.016711354885626,3.045115950159354e-14,1.0,427.1477141203702,1.0,1.0,266
low,1e-06,medium,400,uncorrected,973.6842105263158,84.2302136623533,889.4539968639625,11.559797466850119,16.96384860989493,16.96384860989493,52.4323234260148,1.0,1.0,266
low,1e-06,medium,400,corrected,897.7706502006399,85.1449652777778,812.6256849228621,10.54402509028859,3.045115950159354e-14,1.0,812.6256849228621,1.0,1.0,266
low,1e-06,large,320,uncorrected,236.13411458333334,82.41650390625,153.71761067708334,2.8651314165417574,16.232428232368537,16.232428232368537,9.469785325806045,1.0,1.0,768
low,1e-06,large,320,corrected,206.99408921233473,85.14496527777777,121.84912393455696,2.4310784382498154,9.046785004446605e-15,1.0,121.84912393455696,1.0,1.0,768
low,1e-06,large,340,uncorrected,387.0625,82.41650390625,304.64599609375,4.696419790389184,16.232428232368537,16.232428232368537,18.767740213153427,1.0,1.0,768
low,1e-06,large,340,corrected,349.37803862555353,85.14496527777777,264.23307334777576,4.103331741175055,9.046785004446605e-15,1.0,264.23307334777576,1.0,1.0,768
low,1e-06,large,360,uncorrected,559.75390625,82.41650390625,477.33740234375,6.791769605839243,16.232428232368537,16.232428232368537,29.40640768655349,1.0,1.0,768
low,1e-06,large,360,corrected,512.2926793981482,85.14496527777777,427.1477141203704,6.016711354885629,9.046785004446605e-15,1.0,427.1477141203704,1.0,1.0,768
low,1e-06,large,400,uncorrected,968.421875,82.41650390625,886.00537109375,11.75033918087079,16.232428232368537,16.232428232368537,54.58242959158733,1.0,1.0,768
low,1e-06,large,400,corrected,897.8250464387598,85.14496527777777,812.6800811609821,10.544663956461624,9.046785004446605e-15,1.0,812.6800811609821,1.0,1.0,768
medium,3e-05,small,320,uncorrected,426.3492063492063,390.14775879690467,36.20144755230166,1.0927890696179718,94.60055688286891,94.60055688286891,0.3826768968931654,0.0,0.6984126984126984,63
medium,3e-05,small,320,corrected,439.47621814402737,389.99638310185196,49.47983504217541,1.126872548531439,1.3626116057516259e-13,1.0,49.47983504217541,1.0,1.0,63
medium,3e-05,small,340,uncorrected,488.07936507936506,390.14775879690467,97.9316062824604,1.2510115823411398,94.60055688286891,94.60055688286891,1.0352117314036098,0.0,0.8412698412698413,63
medium,3e-05,small,340,corrected,497.3142037114399,389.99638310185196,107.31782060958795,1.2751764510122667,1.3626116057516259e-13,1.0,107.31782060958795,1.0,1.0,63
medium,3e-05,small,360,uncorrected,558.6666666666666,390.14775879690467,168.51890786976196,1.4319361166892828,94.60055688286891,94.60055688286891,1.7813733176900444,0.09523809523809523,0.9365079365079365,63
medium,3e-05,small,360,corrected,563.450810185185,389.99638310185196,173.45442708333303,1.4447590659783978,1.3626116057516259e-13,1.0,173.45442708333303,1.0,1.0,63
medium,3e-05,small,400,uncorrected,725.7619047619048,390.14775879690467,335.61414596500015,1.8602231805712037,94.60055688286891,94.60055688286891,3.5476973606037623,0.746031746031746,1.0,63
medium,3e-05,small,400,corrected,720.0109874647596,389.99638310185196,330.0146043629077,1.8461991409718295,1.3626116057516259e-13,1.0,330.0146043629077,1.0,1.0,63
medium,3e-05,medium,320,uncorrected,440.4398496240602,390.08787240445383,50.35197721960634,1.1290785507102359,94.58702760065667,94.58702760065667,0.5323349141722767,0.0037593984962406013,0.7180451127819549,266
medium,3e-05,medium,320,corrected,439.4960679875569,389.9963831018519,49.499684885704994,1.1269234460381587,1.0093548052108784e-13,1.0,49.499684885704994,1.0,1.0,266
medium,3e-05,medium,340,uncorrected,502.0375939849624,390.08787240445383,111.9497215805086,1.286985906253543,94.58702760065667,94.58702760065667,1.1835631631554873,0.018796992481203006,0.868421052631579,266
medium,3e-05,medium,340,corrected,497.3217005063098,389.9963831018519,107.3253174044579,1.2751956737414887,1.0093548052108784e-13,1.0,107.3253174044579,1.0,1.0,266
medium,3e-05,medium,360,uncorrected,572.4812030075188,390.08787240445383,182.393330603065,1.467569856706426,94.58702760065667,94.58702760065667,1.9283123196673826,0.14661654135338345,0.9586466165413534,266
medium,3e-05,medium,360,corrected,563.4508101851852,389.9963831018519,173.45442708333331,1.4447590659783984,1.0093548052108784e-13,1.0,173.45442708333331,1.0,1.0,266
medium,3e-05,medium,400,uncorrected,739.2593984962406,390.08787240445383,349.17152609178675,1.8951099246934704,94.58702760065667,94.58702760065667,3.6915371478420647,0.7669172932330827,1.0,266
medium,3e-05,medium,400,corrected,720.0155901077763,389.9963831018519,330.01920700592444,1.8462109427300413,1.0093548052108784e-13,1.0,330.01920700592444,1.0,1.0,266
medium,3e-05,large,320,uncorrected,449.9765625,389.0568033854167,60.919759114583314,1.1565831996368754,95.00440914214624,95.00440914214624,0.6412308614375439,0.0026041666666666665,0.7552083333333334,768
medium,3e-05,large,320,corrected,439.4934222602686,389.9963831018519,49.49703915841667,1.1269166620591196,1.0100271890557266e-13,1.0,49.49703915841667,1.0,1.0,768
