tp,fp,tn,fn,tpr,recall,fpr,precision,f1,iou,shape,delta_t_K,frame_idx,snr_like,detected_success
0,0,12139,149,0.0,0.0,0.0,0.0,0.0,0.0,circle,0.1,0,0.15281259153361756,0.0
0,0,12139,149,0.0,0.0,0.0,0.0,0.0,0.0,circle,0.1,1,0.2475024033228966,0.0
0,0,12139,149,0.0,0.0,0.0,0.0,0.0,0.0,circle,0.1,2,0.24118085803767275,0.0
0,0,12139,149,0.0,0.0,0.0,0.0,0.0,0.0,circle,0.1,3,0.1630469222999756,0.0
0,0,12139,149,0.0,0.0,0.0,0.0,0.0,0.0,circle,0.1,4,0.28728700108352856,0.0
0,0,12139,149,0.0,0.0,0.0,0.0,0.0,0.0,circle,0.1,5,0.17905818186574343,0.0
0,0,12139,149,0.0,0.0,0.0,0.0,0.0,0.0,circle,0.1,6,0.27452236142852304,0.0
0,0,12139,149,0.0,0.0,0.0,0.0,0.0,0.0,circle,0.1,7,0.31101774071665556,0.0
0,0,12139,149,0.0,0.0,0.0,0.0,0.0,0.0,circle,0.1,8,0.28510108292293646,0.0
0,0,12139,149,0.0,0.0,0.0,0.0,0.0,0.0,circle,0.1,9,0.2720621022272372,0.0
0,0,12139,149,0.0,0.0,0.0,0.0,0.0,0.0,circle,0.1,10,0.22372047917514118,0.0
0,0,12139,149,0.0,0.0,0.0,0.0,0.0,0.0,circle,0.1,11,0.268648316197727,0.0
0,0,12139,149,0.0,0.0,0.0,0.0,0.0,0.0,circle,0.2,0,0.5354696502456928,0.0
0,0,12139,149,0.0,0.0,0.0,0.0,0.0,0.0,circle,0.2,1,0.7069520964791167,0.0
0,0,12139,149,0.0,0.0,0.0,0.0,0.0,0.0,circle,0.2,2,0.5415671546034977,0.0
0,0,12139,149,0.0,0.0,0.0,0.0,0.0,0.0,circle,0.2,3,0.5314492134251048,0.0
0,0,12139,149,0.0,0.0,0.0,0.0,0.0,0.0,circle,0.2,4,0.42054115165124384,0.0
0,0,12139,149,0.0,0.0,0.0,0.0,0.0,0.0,circle,0.2,5,0.5997404355336361,0.0
0,0,12139,149,0.0,0.0,0.0,0.0,0.0,0.0,circle,0.2,6,0.5594688016985079,0.0
0,0,12139,149,0.0,0.0,0.0,0.0,0.0,0.0,circle,0.2,7,0.5180887740796706,0.0
0,0,12139,149,0.0,0.0,0.0,0.0,0.0,0.0,circle,0.2,8,0.6601715019544835,0.0
0,0,12139,149,0.0,0.0,0.0,0.0,0.0,0.0,circle,0.2,9,0.7014887179469036,0.0
0,0,12139,149,0.0,0.0,0.0,0.0,0.0,0.0,circle,0.2,10,0.5320947224120727,0.0
0,0,12139,149,0.0,0.0,0.0,0.0,0.0,0.0,circle,0.2,11,0.44679235961239916,0.0
0,0,12139,149,0.0,0.0,0.0,0.0,0.0,0.0,circle,0.5,0,1.5580590409131476,0.0
0,0,12139,149,0.0,0.0,0.0,0.0,0.0,0.0,circle,0.5,1,1.2719592769154673,0.0
0,0,12139,149,0.0,0.0,0.0,0.0,0.0,0.0,circle,0.5,2,1.3150033217655024,0.0
0,0,12139,149,0.0,0.0,0.0,0.0,0.0,0.0,circle,0.5,3,1.442162764051838,0.0
0,0,12139,149,0.0,0.0,0.0,0.0,0.0,0.0,circle,0.5,4,1.4273777825391123,0.0
0,0,12139,149,0.0,0.0,0.0,0.0,0.0,0.0,circle,0.5,5,1.3899741638513254,0.0
