shape,delta_t_K,n_frames,tpr_mean,tpr_std,fpr_mean,fpr_std,precision_mean,precision_std,f1_mean,f1_std,iou_mean,iou_std,snr_like_mean,snr_like_std,detection_probability,detection_probability_std
circle,0.1,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24216333673430454,0.05209960219477159,0.0,0.0
circle,0.2,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5628187149701941,0.09029708500859437,0.0,0.0
circle,0.5,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.389717864806901,0.07551288854998249,0.0,0.0
circle,1.0,12,0.08780760626398208,0.03521915838093437,0.0,0.0,1.0,0.0,0.15967006420708757,0.05963491236616141,0.08780760626398208,0.03521915838093437,2.9080672495661424,0.10993229247047691,0.0,0.0
circle,1.5,12,0.7125279642058165,0.04300573844334118,0.0,0.0,1.0,0.0,0.8314808516594532,0.02846414628387224,0.7125279642058165,0.04300573844334118,4.354598980201373,0.11061044354945629,1.0,0.0
circle,2.0,12,0.977069351230425,0.006685939059702085,0.0,0.0,1.0,0.0,0.9883910841246659,0.0034237050169665896,0.977069351230425,0.006685939059702085,5.796079178210031,0.07601247506108635,1.0,0.0
circle,3.0,12,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,8.685802140351313,0.09720025432423186,1.0,0.0
circle,4.0,12,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,11.638678859605093,0.10408578400726448,1.0,0.0
circle,6.0,12,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,17.61664770832613,0.10696080167763278,1.0,0.0
circle,8.0,12,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,23.62361608805628,0.19915930882342223,1.0,0.0
circle,10.0,12,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,29.94544598653017,0.2340824746541833,1.0,0.0
gaussian,0.1,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2269675976698949,0.09856854356372347,0.0,0.0
gaussian,0.2,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3592733566043554,0.08918306569714854,0.0,0.0
gaussian,0.5,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0088789578760629,0.10530071186038076,0.0,0.0
gaussian,1.0,12,0.004295532646048109,0.014880161577052204,0.0,0.0,0.08333333333333333,0.28867513459481287,0.008169934640522875,0.02830148378380518,0.004295532646048109,0.014880161577052204,2.059237036366019,0.1385300654046374,0.0,0.0
gaussian,1.5,12,0.2568728522336769,0.04661683051123874,6.835643780931288e-06,2.3679364662030425e-05,0.9969135802469135,0.010691671651659788,0.40647826196872344,0.05840950512073686,0.25664492601164174,0.04656391655797583,3.041377348352995,0.11215956909698366,0.16666666666666666,0.3892494720807615
gaussian,2.0,12,0.5618556701030928,0.05516799494943369,0.00025291881989444165,0.00015820290326077802,0.9477285748205643,0.03131941145300812,0.7037457709615741,0.04329807377016091,0.5445087422104621,0.052339800484882425,3.958662257749511,0.09852711472071386,1.0,0.0
gaussian,3.0,12,0.9398625429553266,0.02440940313104349,0.0020301862029365415,0.000492321683255772,0.7884637145927318,0.038992097044367194,0.8568248550108516,0.02345850160573004,0.7501812554314866,0.03551884021437346,5.900877684501651,0.08952559888428163,1.0,0.0
