tp,fp,tn,fn,tpr,recall,fpr,precision,f1,iou,noise_type,noise_level,frame_idx,snr_like,gaussian_sigma,fpn_std,quant_bits,defect_rate
197,0,12091,0,1.0,1.0,0.0,1.0,1.0,1.0,gaussian,0.0,0,27.243817715656263,0.0,0.0,10,0.0
197,0,12091,0,1.0,1.0,0.0,1.0,1.0,1.0,gaussian,0.0,1,27.243817715656263,0.0,0.0,10,0.0
197,0,12091,0,1.0,1.0,0.0,1.0,1.0,1.0,gaussian,0.0,2,27.243817715656263,0.0,0.0,10,0.0
197,0,12091,0,1.0,1.0,0.0,1.0,1.0,1.0,gaussian,0.0,3,27.243817715656263,0.0,0.0,10,0.0
197,0,12091,0,1.0,1.0,0.0,1.0,1.0,1.0,gaussian,0.0,4,27.243817715656263,0.0,0.0,10,0.0
197,0,12091,0,1.0,1.0,0.0,1.0,1.0,1.0,gaussian,0.0,5,27.243817715656263,0.0,0.0,10,0.0
197,0,12091,0,1.0,1.0,0.0,1.0,1.0,1.0,gaussian,0.0,6,27.243817715656263,0.0,0.0,10,0.0
197,0,12091,0,1.0,1.0,0.0,1.0,1.0,1.0,gaussian,0.0,7,27.243817715656263,0.0,0.0,10,0.0
197,0,12091,0,1.0,1.0,0.0,1.0,1.0,1.0,gaussian,0.0,8,27.243817715656263,0.0,0.0,10,0.0
197,0,12091,0,1.0,1.0,0.0,1.0,1.0,1.0,gaussian,0.0,9,27.243817715656263,0.0,0.0,10,0.0
197,0,12091,0,1.0,1.0,0.0,1.0,1.0,1.0,gaussian,1.0,0,22.978646961425962,1.0,0.0,10,0.0
197,0,12091,0,1.0,1.0,0.0,1.0,1.0,1.0,gaussian,1.0,1,22.941864068404435,1.0,0.0,10,0.0
197,0,12091,0,1.0,1.0,0.0,1.0,1.0,1.0,gaussian,1.0,2,22.9946695395878,1.0,0.0,10,0.0
197,0,12091,0,1.0,1.0,0.0,1.0,1.0,1.0,gaussian,1.0,3,23.114332350984352,1.0,0.0,10,0.0
197,0,12091,0,1.0,1.0,0.0,1.0,1.0,1.0,gaussian,1.0,4,22.771408198719357,1.0,0.0,10,0.0
197,0,12091,0,1.0,1.0,0.0,1.0,1.0,1.0,gaussian,1.0,5,22.843039402211947,1.0,0.0,10,0.0
197,0,12091,0,1.0,1.0,0.0,1.0,1.0,1.0,gaussian,1.0,6,23.16342091518294,1.0,0.0,10,0.0
197,0,12091,0,1.0,1.0,0.0,1.0,1.0,1.0,gaussian,1.0,7,22.81009059162681,1.0,0.0,10,0.0
197,0,12091,0,1.0,1.0,0.0,1.0,1.0,1.0,gaussian,1.0,8,22.937834915941767,1.0,0.0,10,0.0
197,0,12091,0,1.0,1.0,0.0,1.0,1.0,1.0,gaussian,1.0,9,22.845407882844576,1.0,0.0,10,0.0
197,0,12091,0,1.0,1.0,0.0,1.0,1.0,1.0,gaussian,2.0,0,12.891102911608053,2.0,0.0,10,0.0
197,0,12091,0,1.0,1.0,0.0,1.0,1.0,1.0,gaussian,2.0,1,12.960147666330814,2.0,0.0,10,0.0
197,0,12091,0,1.0,1.0,0.0,1.0,1.0,1.0,gaussian,2.0,2,12.684200304489831,2.0,0.0,10,0.0
197,0,12091,0,1.0,1.0,0.0,1.0,1.0,1.0,gaussian,2.0,3,12.784514177620112,2.0,0.0,10,0.0
