noise_type,noise_level,snr_like,tpr,fpr,precision,iou
combined,0.0,22.82072404035967,1.0,0.0,1.0,1.0
combined,1.0,1.2650095840912952,0.998984771573604,0.0,1.0,0.998984771573604
combined,2.0,0.8570792409966831,0.9822335025380712,1.654122901331569e-05,0.9989743320008415,0.9812387837768549
combined,4.0,0.582136449023921,0.0,0.0,0.0,0.0
combined,6.0,0.4514518674143866,0.0,0.0,0.0,0.0
combined,8.0,0.38497374499643155,0.0,0.0,0.0,0.0
defects,0.0,22.837743502107816,1.0,0.0,1.0,1.0
defects,1.0,0.9163680529776824,0.9979695431472081,8.270614506657845e-06,0.9994949494949494,0.9974644926421575
defects,2.0,0.6600619129716818,0.9974619289340101,8.270614506657845e-06,0.999492385786802,0.9969594421371071
defects,4.0,0.45802532456605893,0.9939086294416244,1.654122901331569e-05,0.9989873352817515,0.9929010921396708
defects,6.0,0.37536631627260464,0.9939086294416244,5.7894301546604904e-05,0.9964671067147737,0.9904113465857719
defects,8.0,0.3110255171399091,0.9868020304568528,5.789430154660492e-05,0.9964283593207137,0.9833228466075441
fpn,0.0,22.747097477439127,1.0,0.0,1.0,1.0
fpn,1.0,17.44931686017756,1.0,0.0,1.0,1.0
fpn,2.0,11.644013897773075,1.0,0.0,1.0,1.0
fpn,4.0,6.526985930624609,0.998984771573604,0.0,1.0,0.998984771573604
fpn,6.0,4.428280999972535,0.9401015228426395,8.270614506657845e-06,0.9994565217391305,0.9396323642516536
fpn,8.0,3.358714735006091,0.5060913705583756,0.0,1.0,0.5060913705583756
gaussian,0.0,27.243817715656263,1.0,0.0,1.0,1.0
gaussian,1.0,22.940071482692993,1.0,0.0,1.0,1.0
gaussian,2.0,12.893460491512704,1.0,4.1353072533289225e-05,0.9974949748743718,0.9974949748743718
gaussian,4.0,6.6778368917667335,1.0,0.0,1.0,1.0
gaussian,6.0,4.454800402621736,0.9365482233502538,8.270614506657845e-06,0.9994594594594595,0.9360765010511203
gaussian,8.0,3.3931323062013377,0.5989847715736041,0.0,1.0,0.5989847715736041
quantization,0.0,22.924462981405142,1.0,0.0,1.0,1.0
quantization,1.0,21.117177259350278,1.0,0.0,1.0,1.0
quantization,2.0,13.295675122657434,1.0,0.0,1.0,1.0
quantization,4.0,16.86242414130186,1.0,0.0,1.0,1.0
quantization,6.0,32.59796954314721,0.9878172588832488,0.0,1.0,0.9878172588832488
quantization,8.0,32.56446700507614,0.9868020304568528,0.0,1.0,0.9868020304568528
