scenario,alpha,window,frame_idx,snr_like,tp,fp,tn,fn,tpr,fpr,precision,f1,iou,detected,target_present,target_center_x,target_center_y,peak_amplitude,raw_peak_reference,background_mean,background_std,center_error_px
static,0.0,1,0,9.759530749300188,149,0,8811,0,1.0,0.0,1.0,1.0,1.0,1,1,56.0,40.0,30.834915161132812,31.298919677734375,222.68856811523438,3.1594669818878174,0.0
static,0.0,1,1,9.63589504049926,149,0,8811,0,1.0,0.0,1.0,1.0,1.0,1,1,56.0,40.0,30.351165771484375,31.298919677734375,222.74951171875,3.1498024463653564,0.0
static,0.0,1,2,9.625781011734416,149,0,8811,0,1.0,0.0,1.0,1.0,1.0,1,1,56.0,40.0,30.446029663085938,31.298919677734375,222.75531005859375,3.1629672050476074,0.0
static,0.0,1,3,9.769781844136729,149,1,8810,0,1.0,0.00011349449551696743,0.9933333333333333,0.9966555183946488,0.9933333333333333,1,1,56.0,40.0,30.470535278320312,31.298919677734375,222.67041015625,3.1188552379608154,0.04807401700618419
static,0.0,1,4,9.646411651761817,149,0,8811,0,1.0,0.0,1.0,1.0,1.0,1,1,56.0,40.0,30.320556640625,31.298919677734375,222.70628356933594,3.143195390701294,0.0
static,0.0,1,5,9.66139814678868,149,1,8810,0,1.0,0.00011349449551696743,0.9933333333333333,0.9966555183946488,0.9933333333333333,1,1,56.0,40.0,30.090927124023438,31.298919677734375,222.7614288330078,3.1145520210266113,0.05077182070576079
static,0.0,1,6,9.74675377272647,149,1,8810,0,1.0,0.00011349449551696743,0.9933333333333333,0.9966555183946488,0.9933333333333333,1,1,56.0,40.0,30.668563842773438,31.298919677734375,222.7139892578125,3.1465413570404053,0.053748384988658346
static,0.0,1,7,9.686738768963908,149,0,8811,0,1.0,0.0,1.0,1.0,1.0,1,1,56.0,40.0,30.41522216796875,31.298919677734375,222.75927734375,3.1398825645446777,0.0
static,0.0,1,8,9.768141105376253,149,0,8811,0,1.0,0.0,1.0,1.0,1.0,1,1,56.0,40.0,30.681503295898438,31.298919677734375,222.75474548339844,3.140976667404175,0.0
static,0.0,1,9,9.678357552821502,149,0,8811,0,1.0,0.0,1.0,1.0,1.0,1,1,56.0,40.0,30.467681884765625,31.298919677734375,222.72023010253906,3.148021936416626,0.0
static,0.0,1,10,9.793259234142987,149,0,8811,0,1.0,0.0,1.0,1.0,1.0,1,1,56.0,40.0,30.746795654296875,31.298919677734375,222.70286560058594,3.139587640762329,0.0
static,0.0,1,11,9.511449864219843,149,0,8811,0,1.0,0.0,1.0,1.0,1.0,1,1,56.0,40.0,30.308700561523438,31.298919677734375,222.78526306152344,3.186548948287964,0.0
static,0.0,1,12,9.607089181788863,149,0,8811,0,1.0,0.0,1.0,1.0,1.0,1,1,56.0,40.0,30.426116943359375,31.298919677734375,222.7953643798828,3.167048454284668,0.0
static,0.0,1,13,9.574208370840342,149,1,8810,0,1.0,0.00011349449551696743,0.9933333333333333,0.9966555183946488,0.9933333333333333,1,1,56.0,40.0,30.267608642578125,31.298919677734375,222.67869567871094,3.1613693237304688,0.053748384988658346
static,0.0,1,14,9.675002492260012,149,0,8811,0,1.0,0.0,1.0,1.0,1.0,1,1,56.0,40.0,30.519866943359375,31.298919677734375,222.80899047851562,3.1545073986053467,0.0
static,0.0,1,15,9.727187314444835,149,0,8811,0,1.0,0.0,1.0,1.0,1.0,1,1,56.0,40.0,30.343765258789062,31.298919677734375,222.7501983642578,3.1194798946380615,0.0
static,0.0,1,16,9.63634053480144,149,0,8811,0,1.0,0.0,1.0,1.0,1.0,1,1,56.0,40.0,30.50445556640625,31.298919677734375,222.73715209960938,3.1655642986297607,0.0
static,0.0,1,17,9.768409410733442,149,1,8810,0,1.0,0.00011349449551696743,0.9933333333333333,0.9966555183946488,0.9933333333333333,1,1,56.0,40.0,30.862564086914062,31.298919677734375,222.73475646972656,3.159425735473633,0.04853406592853755
static,0.0,1,18,9.862270251650607,149,0,8811,0,1.0,0.0,1.0,1.0,1.0,1,1,56.0,40.0,30.362548828125,31.298919677734375,222.80523681640625,3.0786571502685547,0.0
static,0.0,1,19,9.738994448210645,149,0,8811,0,1.0,0.0,1.0,1.0,1.0,1,1,56.0,40.0,30.384414672851562,31.298919677734375,222.72296142578125,3.1198718547821045,0.0
static,0.0,1,20,9.509197356727489,149,1,8810,0,1.0,0.00011349449551696743,0.9933333333333333,0.9966555183946488,0.9933333333333333,1,1,56.0,40.0,30.447097778320312,31.298919677734375,222.76766967773438,3.201857805252075,0.04714045207910049
static,0.0,1,21,9.874873620275851,149,0,8811,0,1.0,0.0,1.0,1.0,1.0,1,1,56.0,40.0,30.801055908203125,31.298919677734375,222.6553192138672,3.1191341876983643,0.0
static,0.0,1,22,9.689880756052622,149,0,8811,0,1.0,0.0,1.0,1.0,1.0,1,1,56.0,40.0,30.447799682617188,31.298919677734375,222.67971801757812,3.142226457595825,0.0
static,0.0,1,23,9.695754942012972,149,0,8811,0,1.0,0.0,1.0,1.0,1.0,1,1,56.0,40.0,30.720703125,31.298919677734375,222.7356719970703,3.1684694290161133,0.0
static,0.0,1,24,9.849379522010684,149,0,8811,0,1.0,0.0,1.0,1.0,1.0,1,1,56.0,40.0,30.947616577148438,31.298919677734375,222.72352600097656,3.142087936401367,0.0
static,0.0,1,25,9.698497812803193,149,0,8811,0,1.0,0.0,1.0,1.0,1.0,1,1,56.0,40.0,30.355880737304688,31.298919677734375,222.77835083007812,3.1299569606781006,0.0
static,0.0,1,26,9.693637804659058,149,0,8811,0,1.0,0.0,1.0,1.0,1.0,1,1,56.0,40.0,30.5411376953125,31.298919677734375,222.70718383789062,3.15063738822937,0.0
static,0.0,1,27,9.60616866042578,149,0,8811,0,1.0,0.0,1.0,1.0,1.0,1,1,56.0,40.0,30.43768310546875,31.298919677734375,222.7301025390625,3.168555974960327,0.0
static,0.0,1,28,9.566352615839737,149,0,8811,0,1.0,0.0,1.0,1.0,1.0,1,1,56.0,40.0,30.216384887695312,31.298919677734375,222.75677490234375,3.1586108207702637,0.0
static,0.0,1,29,9.554958906349498,149,0,8811,0,1.0,0.0,1.0,1.0,1.0,1,1,56.0,40.0,30.204742431640625,31.298919677734375,222.74827575683594,3.161158800125122,0.0
static,0.0,1,30,9.73110206163219,149,0,8811,0,1.0,0.0,1.0,1.0,1.0,1,1,56.0,40.0,30.35272216796875,31.298919677734375,222.6875457763672,3.119145393371582,0.0
static,0.0,1,31,9.665641619333599,149,0,8811,0,1.0,0.0,1.0,1.0,1.0,1,1,56.0,40.0,30.447555541992188,31.298919677734375,222.77392578125,3.150081157684326,0.0
static,0.0,1,32,9.778860237339593,149,0,8811,0,1.0,0.0,1.0,1.0,1.0,1,1,56.0,40.0,30.781951904296875,31.298919677734375,222.80865478515625,3.147805690765381,0.0
static,0.0,1,33,9.654036561592136,149,0,8811,0,1.0,0.0,1.0,1.0,1.0,1,1,56.0,40.0,30.643783569335938,31.298919677734375,222.77232360839844,3.174193859100342,0.0
static,0.0,1,34,9.503759816501315,149,1,8810,0,1.0,0.00011349449551696743,0.9933333333333333,0.9966555183946488,0.9933333333333333,1,1,56.0,40.0,29.997161865234375,31.298919677734375,222.80149841308594,3.1563467979431152,0.0537483849886557
static,0.0,1,35,9.608312266358537,149,0,8811,0,1.0,0.0,1.0,1.0,1.0,1,1,56.0,40.0,30.172332763671875,31.298919677734375,222.7001495361328,3.1402323246002197,0.0
