scenario,best_iou_alpha,best_iou_window,best_iou,min_delay_alpha,min_delay_window,min_delay_frames,compromise_alpha,compromise_window,compromise_iou,compromise_delay,compromise_snr_like
appearing,0.0,3,0.9995555555555555,0.0,1,0.0,0.0,3,0.9995555555555555,0.0,16.56890712077709
appearing_and_fading,0.9,1,0.9944099552572707,0.0,1,0.0,0.9,1,0.9944099552572707,0.0,20.994863510131836
appearing_and_growing,0.6,1,0.9295324384787471,0.0,3,4.0,0.6,1,0.9295324384787471,4.0,15.854771862654498
background_drift,0.6,5,1.0,0.0,1,0.0,0.6,5,1.0,0.0,26.10775373897219
intermittent,0.3,1,1.0,0.0,1,0.0,0.3,1,1.0,0.0,12.702483218806993
moving,0.0,1,0.9990131578947368,0.0,1,0.0,0.0,1,0.9990131578947368,0.0,9.733291500443062
moving_diagonal,0.0,1,0.9982475209763539,0.0,1,0.0,0.0,1,0.9982475209763539,0.0,9.722877265045131
moving_fast,0.0,1,0.997591533180778,0.0,1,0.0,0.0,1,0.997591533180778,0.0,9.70885508167394
moving_with_noise_burst,0.0,1,0.9677164307052342,0.0,1,0.0,0.0,1,0.9677164307052342,0.0,8.89399335587145
small_moving_target,0.0,1,0.9962500000000001,0.0,1,0.0,0.0,1,0.9962500000000001,0.0,9.709300236777732
static,0.9,5,0.9999166666666668,0.0,1,0.0,0.9,5,0.9999166666666668,0.0,27.972398484251556
two_anomalies_static_dynamic,0.0,1,0.9983993982208268,0.0,1,0.0,0.0,1,0.9983993982208268,0.0,8.846876423802765
