scenario,alpha,window,snr_like,tpr,fpr,precision,f1,iou,detection_delay_frames,peak_amplitude_ratio,detection_probability,mean_center_error_px
appearing,0.0,1,9.726238460893933,1.0,1.7024174327545114e-05,0.999,0.9994983277591972,0.999,0.0,1.0,1.0,0.007644177663850966
appearing,0.0,3,16.56890712077709,1.0,7.566299701131162e-06,0.9995555555555555,0.9997770345596432,0.9995555555555555,0.0,0.9860990900885517,1.0,0.003390709149661944
appearing,0.0,5,21.023631822394044,0.996979865771812,1.8915749252827904e-06,0.9998888888888888,0.9982837420347448,0.996868754660701,0.0,0.9833888712707047,1.0,0.004826781199861642
appearing,0.0,10,28.20239480473998,0.988255033557047,1.8915749252827904e-06,0.9998888888888888,0.9909534340133473,0.9881439224459359,0.0,0.9807108530724757,1.0,0.013763051486219592
appearing,0.3,1,13.160372380772516,1.0,1.5132599402262323e-05,0.9991111111111111,0.9995540691192865,0.9991111111111111,0.0,0.9931485863440099,1.0,0.006895799375486294
appearing,0.3,3,18.550581908716747,0.9978747203579419,9.457874626413953e-06,0.9994459161147903,0.9985866588349056,0.9973206364727322,0.0,0.9849735320664503,1.0,0.005318608046867494
appearing,0.3,5,22.389801445052466,0.9926174496644296,1.8915749252827904e-06,0.9998888888888888,0.995202879329566,0.9925063385533185,0.0,0.9824467592027907,1.0,0.008629922020154557
appearing,0.3,10,27.993911743164062,0.9832214765100671,0.0,1.0,0.9840731186621597,0.9832214765100671,1.0,0.9805074037030712,0.9833333333333333,0.09527236399046245
appearing,0.6,1,18.96801973749818,1.0,1.1349449551696744e-05,0.9993333333333332,0.9996655518394649,0.9993333333333332,0.0,0.9859307686678214,1.0,0.005038267767914263
appearing,0.6,3,22.60696583508853,0.9916107382550335,1.8915749252827904e-06,0.9998888888888888,0.9943388774739915,0.9914996271439224,0.0,0.9829073256409631,1.0,0.01134501574442172
appearing,0.6,5,25.312645428925787,0.9829977628635347,0.0,0.9833333333333333,0.9831638418079096,0.9829977628635347,1.0,0.981037738150416,0.9833333333333333,0.00016417617394625666
appearing,0.6,10,27.449688720703126,0.9774049217002237,0.0,0.9833333333333333,0.9797794251741619,0.9774049217002237,1.0,0.9797867928670748,0.9833333333333333,0.0051552061052609535
appearing,0.9,1,25.929913330078126,0.9957494407158837,1.8915749252827904e-06,0.9998888888888888,0.9975083612040134,0.9956383296047726,0.0,0.9738335813431561,1.0,0.004119666859958733
appearing,0.9,3,25.423097991943358,0.9790827740492171,0.0,0.9833333333333333,0.9808974358974359,0.9790827740492171,1.0,0.9732705583880175,0.9833333333333333,0.0027186583928484787
appearing,0.9,5,24.91597671508789,0.9665548098434004,1.8915749252827904e-06,0.9832222222222222,0.9684642261817875,0.9664436987322894,2.0,0.9731241919352085,0.9666666666666667,0.034325179157535475
appearing,0.9,10,23.6486452738444,0.9460850111856823,1.8915749252827904e-06,0.9665555555555555,0.9493721000565649,0.9459739000745712,3.0,0.9729851438050399,0.95,0.03555950914050637
appearing_and_fading,0.0,1,7.3478816431022365,0.8543064876957495,1.8915749252827906e-05,0.9152850877192983,0.868605881423718,0.8533361112345733,0.0,1.0,0.875,0.1058831327062087
appearing_and_fading,0.0,3,12.699205527232378,0.9253355704697986,0.0,0.9583333333333334,0.9332380094876879,0.9253355704697986,0.0,0.9905960930139389,0.9375,0.09444289665087414
appearing_and_fading,0.0,5,16.321448177428707,0.970917225950783,2.3644686566034883e-06,0.9998611111111111,0.9796655822846537,0.9707783370618941,0.0,0.98626236183685,0.9791666666666666,0.021809762205907923
appearing_and_fading,0.0,10,22.623011496246733,0.986437360178971,4.728937313206977e-06,0.9997222222222222,0.9898067494190141,0.9861595824011932,0.0,0.9835787575982675,1.0,0.03403799569500344
appearing_and_fading,0.3,1,10.003525327745823,0.8947147651006712,9.457874626413953e-06,0.9369153225806451,0.9055338142773944,0.8941834451901567,0.0,0.9916948684047088,0.9166666666666666,0.06862552279900613
appearing_and_fading,0.3,3,14.298436679002263,0.9530201342281878,2.3644686566034883e-06,0.9998611111111111,0.9620518014419677,0.9528812453392991,0.0,0.9893932334485296,0.9583333333333334,0.1516671110068025
appearing_and_fading,0.3,5,17.476195843830457,0.9781879194630873,2.3644686566034883e-06,0.9998611111111111,0.9860924650711699,0.9780490305741983,0.0,0.9846092891198162,1.0,0.02491490401192614
appearing_and_fading,0.3,10,22.625054677327473,0.9800055928411634,4.728937313206977e-06,0.9997222222222222,0.9813644116278007,0.9797278150633856,1.0,0.9827063161910298,0.9791666666666666,0.054597764341196085
appearing_and_fading,0.6,1,14.610946675480037,0.9559563758389262,2.3644686566034883e-06,0.9790277777777777,0.9635367443722521,0.9558174869500373,0.0,0.9830220054565637,0.9791666666666666,0.029536398165137992
appearing_and_fading,0.6,3,17.642471873032747,0.9784675615212528,0.0,1.0,0.9861284381768262,0.9784675615212528,0.0,0.9813890622261346,1.0,0.02574057030652908
appearing_and_fading,0.6,5,19.989640949673937,0.9787472035794184,0.0,1.0,0.9799520984790262,0.9787472035794184,1.0,0.9808352558629585,0.9791666666666666,0.09798332369262397
appearing_and_fading,0.6,10,22.41912078857422,0.972175615212528,2.3644686566034883e-06,0.9790277777777777,0.9748967211493508,0.972036726323639,1.0,0.9800556064793381,0.9791666666666666,0.01133680762443935
appearing_and_fading,0.9,1,20.994863510131836,0.9948266219239373,7.0934059698104645e-06,0.9995833333333333,0.996837585480764,0.9944099552572707,0.0,0.9128344133702996,1.0,0.013461462389055018
appearing_and_fading,0.9,3,20.7506529490153,0.9748322147651006,0.0,0.9791666666666666,0.9767478152309613,0.9748322147651006,1.0,0.9115284515564266,0.9791666666666666,0.006217432257326651
appearing_and_fading,0.9,5,20.476107915242512,0.957354586129754,0.0,0.9583333333333334,0.957832187857961,0.957354586129754,2.0,0.9085065737502658,0.9583333333333334,0.0009185548071034797
appearing_and_fading,0.9,10,19.65921942392985,0.932606263982103,0.0,0.9375,0.9347275031685678,0.932606263982103,3.0,0.8972679377046395,0.9375,0.0033195684923832507
appearing_and_growing,0.0,1,8.15728196548584,0.9072706935123042,1.1349449551696744e-05,0.9493310657596371,0.9169110172563789,0.906606263982103,5.0,1.0,0.9166666666666666,0.062207900649153235
appearing_and_growing,0.0,3,13.876795446332903,0.9237136465324384,0.0,0.9333333333333333,0.9275479161063361,0.9237136465324384,4.0,0.9943698138634873,0.9333333333333333,0.008068030331897605
appearing_and_growing,0.0,5,17.568791477873802,0.9227069351230425,3.783149850565581e-06,0.9331111111111111,0.9265162572647045,0.9224847129008202,4.0,0.9940398178698758,0.9333333333333333,0.013155086360726667
appearing_and_growing,0.0,10,23.358769087844404,0.9068232662192394,7.566299701131162e-06,0.9162018667932289,0.9104526093187337,0.9063967188665175,5.0,0.9932380461668348,0.9166666666666666,0.012850715000183076
appearing_and_growing,0.3,1,11.028567015681698,0.9202460850111858,5.674724775848372e-06,0.9496666666666667,0.927760899535682,0.9199127516778524,4.0,0.9978589780893529,0.9333333333333333,0.034851277676333864
appearing_and_growing,0.3,3,15.522695229915026,0.926510067114094,0.0,0.95,0.9303322516112654,0.926510067114094,4.0,0.993577428274037,0.9333333333333333,0.09706608960367885
appearing_and_growing,0.3,5,18.69066718752334,0.9237136465324386,5.674724775848372e-06,0.9495555555555555,0.9278614064502771,0.9234362416107383,4.0,0.9924975312051226,0.9333333333333333,0.11364204817930003
appearing_and_growing,0.3,10,23.15469919840495,0.9052572706935124,1.3241024476979535e-05,0.915752855501853,0.909029762330753,0.9045555555555556,5.0,0.9922930127300401,0.9166666666666666,0.014451586033816612
appearing_and_growing,0.6,1,15.854771862654498,0.9298657718120805,5.674724775848372e-06,0.9496666666666667,0.9349428370031542,0.9295324384787471,4.0,0.9951868997518608,0.9333333333333333,0.016790510455469126
