scenario,alpha,window,snr_like,tpr,fpr,precision,iou,detection_delay_frames,peak_amplitude_ratio
static,0.0,1,9.715879762461785,1.0,2.553626149131767e-05,0.9985011037527594,0.9985011037527594,0.0,1.0
static,0.0,3,16.72024973913625,1.0,5.674724775848372e-06,0.9996666666666666,0.9996666666666666,0.0,0.991866110243295
static,0.0,5,21.391048949351177,1.0,2.837362387924186e-06,0.9998333333333334,0.9998333333333334,0.0,0.9909920178260843
static,0.0,10,29.440408810236796,1.0,9.93076835773465e-06,0.9994166666666665,0.9994166666666665,0.0,0.9867394635558472
static,0.3,1,13.19578884978721,1.0,9.93076835773465e-06,0.9994166666666665,0.9994166666666665,0.0,0.995107330184967
static,0.3,3,18.770156313617015,1.0,7.093405969810465e-06,0.9995844370860926,0.9995844370860926,0.0,0.9913438835234236
static,0.3,5,22.83927113792834,1.0,4.2560435818862785e-06,0.9997499999999999,0.9997499999999999,0.0,0.99048192758791
static,0.3,10,29.417049664534517,1.0,1.1349449551696744e-05,0.9993333333333332,0.9993333333333332,0.0,0.9865995031811442
static,0.6,1,19.179666059921416,1.0,5.674724775848372e-06,0.9996666666666666,0.9996666666666666,0.0,0.9900782481651912
static,0.6,3,23.010726613464527,1.0,5.674724775848372e-06,0.9996666666666666,0.9996666666666666,0.0,0.9899144824798174
static,0.6,5,25.940175574947126,1.0,8.512087163772557e-06,0.9994999999999999,0.9994999999999999,0.0,0.9893993295236823
static,0.6,10,29.07912484257584,1.0,1.560549313358302e-05,0.9990833333333333,0.9990833333333333,0.0,0.9862889445877122
static,0.9,1,28.40891846352551,1.0,2.837362387924186e-06,0.9998333333333334,0.9998333333333334,0.0,0.9850037684996458
static,0.9,3,28.18337287730365,1.0,5.674724775848372e-06,0.9996666666666666,0.9996666666666666,0.0,0.9847109199309285
static,0.9,5,27.945944023489112,1.0,5.674724775848372e-06,0.9996666666666666,0.9996666666666666,0.0,0.9843944582288537
static,0.9,10,27.371359817201892,1.0,5.674724775848372e-06,0.9996666666666666,0.9996666666666666,0.0,0.9834940423875941
appearing,0.0,1,6.48367918220071,0.6975671140939598,8.512087163772557e-06,0.9870000000000001,0.9595671140939597,4.0,1.0
appearing,0.0,3,11.000829735646533,0.7008389261744966,1.418681193962093e-06,0.9749166666666668,0.9632555928411634,4.0,0.9905774797037057
appearing,0.0,5,13.915927875389036,0.6958053691275168,0.0,0.975,0.9583053691275168,4.0,0.9870407404001705
appearing,0.0,10,18.622669416707918,0.685989932885906,7.093405969810465e-06,0.9620833333333334,0.9480732662192393,5.0,0.9849753251913087
appearing,0.3,1,8.758528166078918,0.6989093959731544,1.418681193962093e-06,0.9749166666666668,0.961326062639821,4.0,0.9957329033014247
appearing,0.3,3,12.300010908437377,0.7003355704697987,1.418681193962093e-06,0.9749166666666668,0.9627522371364654,4.0,0.988561899208874
appearing,0.3,5,14.802623191804667,0.6949664429530201,1.418681193962093e-06,0.9749166666666668,0.957383109619687,4.0,0.9867958482938345
appearing,0.3,10,18.53815683570363,0.6828020134228188,8.512087163772557e-06,0.9494999999999999,0.9448020134228188,5.0,0.9846184000402983
appearing,0.6,1,12.578097863410344,0.7023489932885906,2.837362387924186e-06,0.9748333333333333,0.964682326621924,3.0,0.9903839495786193
appearing,0.6,3,14.942342869979388,0.6968120805369127,4.2560435818862785e-06,0.9747499999999999,0.9590620805369128,4.0,0.9863959460204985
appearing,0.6,5,16.68477014341748,0.6888422818791946,1.418681193962093e-06,0.9624166666666667,0.9512589485458612,5.0,0.9861937459703496
appearing,0.6,10,18.131606640012034,0.6761744966442953,8.512087163772557e-06,0.9494999999999999,0.9381744966442952,6.0,0.9842348407046537
appearing,0.9,1,17.003410195244065,0.6919463087248323,5.674724775848372e-06,0.9621666666666666,0.9541129753914988,4.0,0.9752283859780652
appearing,0.9,3,16.625871637026883,0.6819630872483222,8.512087163772557e-06,0.962,0.9439630872483221,5.0,0.9747349750240923
appearing,0.9,5,16.248025181353547,0.6720637583892618,7.093405969810465e-06,0.9495833333333333,0.9341470917225949,6.0,0.9746648772380376
