tp,fp,tn,fn,tpr,recall,fpr,precision,f1,iou,algorithm,parameter,frame_id,has_anomaly,delta_t,size,noise,shape,snr_like,runtime_s
49,0,12239,0,1.0,1.0,0.0,1.0,1.0,1.0,global_threshold,k=2,0,True,2.0,8,1.5,circle,7.443885464524661,0.0037756560050183907
49,0,12239,0,1.0,1.0,0.0,1.0,1.0,1.0,global_threshold,k=2,1,True,2.0,8,1.5,circle,7.284124909488011,0.0007000810001045465
64,0,12224,0,1.0,1.0,0.0,1.0,1.0,1.0,global_threshold,k=2,2,True,2.0,8,1.5,rectangle,6.851619764163435,0.0007100389921106398
64,0,12224,0,1.0,1.0,0.0,1.0,1.0,1.0,global_threshold,k=2,3,True,2.0,8,1.5,rectangle,6.764999632416304,0.0007602489931741729
49,175,12064,0,1.0,1.0,0.014298553803415312,0.21875,0.358974358974359,0.21875,global_threshold,k=2,4,True,2.0,8,3.0,circle,3.930555641463975,0.001893091990496032
49,173,12066,0,1.0,1.0,0.014135141759947708,0.22072072072072071,0.36162361623616235,0.22072072072072071,global_threshold,k=2,5,True,2.0,8,3.0,circle,3.5083335689938315,0.0016794139955891296
64,133,12091,0,1.0,1.0,0.010880235602094241,0.3248730964467005,0.49042145593869724,0.3248730964467005,global_threshold,k=2,6,True,2.0,8,3.0,rectangle,3.5798480568255897,0.0019023789936909452
64,124,12100,0,1.0,1.0,0.010143979057591623,0.3404255319148936,0.5079365079365079,0.3404255319148936,global_threshold,k=2,7,True,2.0,8,3.0,rectangle,3.779070755864333,0.001776541001163423
197,0,12091,0,1.0,1.0,0.0,1.0,1.0,1.0,global_threshold,k=2,8,True,2.0,16,1.5,circle,7.499376473887526,0.0007751440134597942
197,0,12091,0,1.0,1.0,0.0,1.0,1.0,1.0,global_threshold,k=2,9,True,2.0,16,1.5,circle,7.136734277629202,0.0006928600050741807
256,0,12032,0,1.0,1.0,0.0,1.0,1.0,1.0,global_threshold,k=2,10,True,2.0,16,1.5,rectangle,7.375698420462054,0.0006931249954504892
256,0,12032,0,1.0,1.0,0.0,1.0,1.0,1.0,global_threshold,k=2,11,True,2.0,16,1.5,rectangle,7.445106221421273,0.0006467469938797876
196,114,11977,1,0.9949238578680203,0.9949238578680203,0.009428500537589942,0.632258064516129,0.7731755424063117,0.6302250803858521,global_threshold,k=2,12,True,2.0,16,3.0,circle,3.9063930549409203,0.0018462059961166233
197,139,11952,0,1.0,1.0,0.011496154164254405,0.5863095238095238,0.7392120075046905,0.5863095238095238,global_threshold,k=2,13,True,2.0,16,3.0,circle,4.035239279448769,0.0018375789950368926
256,87,11945,0,1.0,1.0,0.007230718085106383,0.7463556851311953,0.8547579298831386,0.7463556851311953,global_threshold,k=2,14,True,2.0,16,3.0,rectangle,4.110067924912717,0.0017497630033176392
256,160,11872,0,1.0,1.0,0.013297872340425532,0.6153846153846154,0.761904761904762,0.6153846153846154,global_threshold,k=2,15,True,2.0,16,3.0,rectangle,3.7941414841612318,0.0017326779925497249
441,0,11847,0,1.0,1.0,0.0,1.0,1.0,1.0,global_threshold,k=2,16,True,2.0,24,1.5,circle,7.024061929134798,0.000883257991517894
441,1,11846,0,1.0,1.0,8.44095551616443e-05,0.997737556561086,0.9988674971687429,0.997737556561086,global_threshold,k=2,17,True,2.0,24,1.5,circle,7.535721738996264,0.0006653790042037144
